[2026-01-04T09:40:06.556+08:00] resRect { left: 204, top: 643, width: 49, height: 52 }
[2026-01-04T09:40:27.666+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T09:44:54.800+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2026-01-04T09:45:03.346+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2026-01-04T09:45:20.796+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T09:47:24.563+08:00] resRect { left: 276, top: 168, width: 63, height: 78 }
[2026-01-04T09:47:32.556+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2026-01-04T09:47:49.440+08:00] resRect { left: 90, top: 640, width: 174, height: 54 }
[2026-01-04T09:52:21.913+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2026-01-04T09:52:30.179+08:00] resRect { left: 47, top: 512, width: 263, height: 50 }
[2026-01-04T09:52:47.243+08:00] resRect { left: 93, top: 643, width: 170, height: 50 }
[2026-01-04T09:52:54.342+08:00] resRect { left: 122, top: 718, width: 219, height: 43 }
[2026-01-04T09:52:59.137+08:00] resRect { left: 122, top: 625, width: 115, height: 29 }
[2026-01-04T09:53:04.057+08:00] resRect { left: 270, top: 724, width: 90, height: 55 }
[2026-01-04T09:53:10.449+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2026-01-04T09:53:21.539+08:00] resRect { left: 202, top: 640, width: 51, height: 57 }
[2026-01-04T09:53:28.893+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T09:53:36.172+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T09:55:00.351+08:00] resRect { left: 273, top: 168, width: 62, height: 73 }
[2026-01-04T09:55:08.336+08:00] resRect { left: 47, top: 514, width: 263, height: 48 }
[2026-01-04T09:55:25.602+08:00] resRect { left: 90, top: 640, width: 174, height: 54 }
[2026-01-04T09:55:33.023+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T09:55:37.292+08:00] resRect { left: 122, top: 625, width: 115, height: 30 }
[2026-01-04T09:55:42.604+08:00] resRect { left: 270, top: 724, width: 90, height: 55 }
[2026-01-04T09:55:48.993+08:00] resRect { left: 30, top: 327, width: 298, height: 40 }
[2026-01-04T09:56:00.038+08:00] resRect { left: 202, top: 643, width: 51, height: 52 }
[2026-01-04T09:56:06.995+08:00] resRect { left: 129, top: 718, width: 217, height: 43 }
[2026-01-04T09:56:14.599+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T09:59:49.798+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2026-01-04T09:59:58.007+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2026-01-04T10:00:15.410+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T10:01:34.754+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2026-01-04T10:01:43.543+08:00] resRect { left: 49, top: 514, width: 261, height: 48 }
[2026-01-04T10:02:00.611+08:00] resRect { left: 93, top: 640, width: 171, height: 53 }
[2026-01-04T10:04:58.758+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2026-01-04T10:05:06.806+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2026-01-04T10:05:24.067+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T10:05:31.572+08:00] resRect { left: 122, top: 716, width: 221, height: 45 }
[2026-01-04T10:05:36.554+08:00] resRect { left: 122, top: 625, width: 115, height: 30 }
[2026-01-04T10:05:41.790+08:00] resRect { left: 273, top: 686, width: 73, height: 27 }
[2026-01-04T10:05:48.218+08:00] resRect { left: 194, top: 633, width: 80, height: 69 }
[2026-01-04T10:05:55.684+08:00] resRect { left: 31, top: 327, width: 298, height: 40 }
[2026-01-04T10:06:07.807+08:00] resRect { left: 202, top: 640, width: 49, height: 54 }
[2026-01-04T10:06:15.135+08:00] resRect { left: 130, top: 716, width: 216, height: 45 }
[2026-01-04T10:06:22.102+08:00] resRect { left: 125, top: 715, width: 216, height: 42 }
[2026-01-04T10:06:28.933+08:00] resRect { left: 204, top: 643, width: 53, height: 51 }
[2026-01-04T10:06:36.117+08:00] resRect { left: 122, top: 716, width: 221, height: 42 }
[2026-01-04T10:06:42.750+08:00] resRect { left: 122, top: 628, width: 113, height: 20 }
[2026-01-04T10:08:05.604+08:00] resRect { left: 276, top: 171, width: 63, height: 78 }
[2026-01-04T10:08:13.654+08:00] resRect { left: 49, top: 514, width: 261, height: 48 }
[2026-01-04T10:08:27.151+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T10:08:34.191+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T10:08:38.662+08:00] resRect { left: 122, top: 625, width: 115, height: 29 }
[2026-01-04T10:08:43.986+08:00] resRect { left: 273, top: 686, width: 73, height: 27 }
[2026-01-04T10:08:50.809+08:00] resRect { left: 194, top: 633, width: 72, height: 69 }
[2026-01-04T10:08:57.888+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2026-01-04T10:09:08.855+08:00] resRect { left: 204, top: 640, width: 49, height: 54 }
[2026-01-04T10:09:16.393+08:00] resRect { left: 129, top: 718, width: 217, height: 43 }
[2026-01-04T10:09:23.286+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T10:09:30.223+08:00] resRect { left: 208, top: 718, width: 131, height: 38 }
[2026-01-04T10:10:10.886+08:00] resRect { left: 274, top: 168, width: 65, height: 81 }
[2026-01-04T10:10:18.707+08:00] resRect { left: 47, top: 514, width: 263, height: 51 }
[2026-01-04T10:10:32.735+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T10:20:05.694+08:00] resRect { left: 47, top: 514, width: 263, height: 51 }
[2026-01-04T10:20:19.169+08:00] resRect { left: 93, top: 643, width: 170, height: 51 }
[2026-01-04T10:20:26.083+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T10:20:30.575+08:00] resRect { left: 122, top: 625, width: 113, height: 29 }
[2026-01-04T10:20:36.223+08:00] resRect { left: 276, top: 687, width: 67, height: 25 }
[2026-01-04T10:20:42.701+08:00] resRect { left: 194, top: 633, width: 62, height: 69 }
[2026-01-04T10:20:49.871+08:00] resRect { left: 31, top: 327, width: 297, height: 42 }
[2026-01-04T10:21:00.939+08:00] resRect { left: 204, top: 643, width: 47, height: 51 }
[2026-01-04T10:21:08.132+08:00] resRect { left: 129, top: 718, width: 217, height: 43 }
[2026-01-04T10:21:15.319+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T10:21:22.079+08:00] resRect { left: 204, top: 640, width: 53, height: 54 }
[2026-01-04T10:21:32.092+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T10:21:38.755+08:00] resRect { left: 122, top: 628, width: 113, height: 20 }
[2026-01-04T10:23:14.896+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2026-01-04T10:23:28.448+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2026-01-04T10:23:35.319+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T10:23:39.832+08:00] resRect { left: 122, top: 628, width: 112, height: 25 }
[2026-01-04T10:23:44.887+08:00] resRect { left: 273, top: 687, width: 73, height: 30 }
[2026-01-04T10:23:51.232+08:00] resRect { left: 194, top: 633, width: 72, height: 69 }
[2026-01-04T10:23:58.406+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2026-01-04T10:24:09.430+08:00] resRect { left: 202, top: 640, width: 51, height: 57 }
[2026-01-04T10:24:16.090+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T10:24:22.954+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T10:24:29.551+08:00] resRect { left: 208, top: 539, width: 120, height: 38 }
[2026-01-04T10:24:36.519+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T10:24:43.212+08:00] resRect { left: 122, top: 625, width: 113, height: 28 }
[2026-01-04T10:29:34.398+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2026-01-04T10:29:47.773+08:00] resRect { left: 93, top: 643, width: 170, height: 51 }
[2026-01-04T10:39:46.365+08:00] resRect { left: 122, top: 714, width: 219, height: 42 }
[2026-01-04T10:39:51.105+08:00] resRect { left: 122, top: 620, width: 112, height: 35 }
[2026-01-04T10:39:56.103+08:00] resRect { left: 273, top: 686, width: 73, height: 27 }
[2026-01-04T10:40:02.511+08:00] resRect { left: 194, top: 633, width: 80, height: 69 }
[2026-01-04T10:40:09.627+08:00] resRect { left: 194, top: 633, width: 72, height: 69 }
[2026-01-04T10:40:16.757+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
